# Labs+production wiki,group,edit size in 2016
ltwikisource,14,5682
rswikimedia,14,5639
euwikibooks,14,5614
mswikibooks,14,5586
zuwiktionary,14,5280
rwwiktionary,14,5269
jbowiktionary,14,5176
wikimania2017wiki,14,5174
quwiktionary,14,5145
adywiki,14,5061
zh_min_nanwikisource,14,4998
aywiktionary,14,4924
kuwikiquote,14,4899
etwikibooks,14,4672
omwiktionary,14,4642
hywikibooks,14,4631
liwikiquote,14,4629
nawiktionary,14,4543
suwiktionary,14,4429
mkwikibooks,14,4409
kwwiktionary,14,4393
hiwikibooks,14,4377
dvwiktionary,14,4158
cywikiquote,14,3896
sswiktionary,14,3849
iuwiktionary,14,3802
tpiwiktionary,14,3640
cywikisource,14,3418
skwikisource,14,3269
afwikiquote,14,3263
urwikiquote,14,3192
kmwikibooks,14,3117
lnwiktionary,14,3116
urwikibooks,14,3012
ttwikibooks,14,3006
mxwikimedia,14,2995
lawikibooks,14,2987
tiwiktionary,14,2950
sqwikiquote,14,2882
bswikibooks,14,2815
mrwikibooks,14,2791
brwikiquote,14,2629
tswiktionary,14,2628
fiwikimedia,14,2603
mrwikiquote,14,2420
suwikiquote,14,2185
knwikiquote,14,2178
sgwiktionary,14,2161
bewikiquote,14,2120
liwikibooks,14,2116
hawiktionary,14,2086
tnwiktionary,14,1947
sawikibooks,14,1904
dkwikimedia,14,1834
ocwikibooks,14,1736
tewikibooks,14,1692
kkwikibooks,14,1659
cvwikibooks,14,1616
afwikibooks,14,1600
iawikibooks,14,1426
mkwikimedia,14,1398
nycwikimedia,14,1350
bdwikimedia,14,1334
kswiktionary,14,1321
fywikibooks,14,1310
cywikibooks,14,1304
pawikibooks,14,1263
bewikibooks,14,1242
uzwikiquote,14,1211
kuwikibooks,14,1167
trwikimedia,14,1102
etwikimedia,14,1036
fowikisource,14,1035
tgwikibooks,14,934
wowikiquote,14,922
mgwikibooks,14,893
kywikibooks,14,873
kywikiquote,14,852
votewiki,14,721
arwikimedia,14,224
cnwikimedia,14,155
loginwiki,14,17
atjwiki,14,17
shnwiki,14,17
yuewiktionary,14,17
liwikinews,14,17
aawiki,14,17
dinwiki,14,17
dtywiki,14,17
gorwiki,14,17
inhwiki,14,17
kbpwiki,14,17
lfnwiki,14,17
olowiki,14,17
satwiki,14,17
tenwiki,14,17
aawikibooks,14,17
aawiktionary,14,17
abwiktionary,14,17
akwikibooks,14,17
akwiktionary,14,17
amwikimedia,14,17
amwikiquote,14,17
angwikibooks,14,17
angwikiquote,14,17
angwikisource,14,17
arywiki,14,17
astwikibooks,14,17
astwikiquote,14,17
aswikibooks,14,17
aswiktionary,14,17
avkwiki,14,17
avwiktionary,14,17
awawiki,14,17
aywikibooks,14,17
banwiki,14,17
bawikibooks,14,17
bhwiktionary,14,17
biwikibooks,14,17
biwiktionary,14,17
bmwikibooks,14,17
bmwikiquote,14,17
bmwiktionary,14,17
bnwikivoyage,14,17
bowikibooks,14,17
bowiktionary,14,17
chowiki,14,17
chwikibooks,14,17
chwiktionary,14,17
cowikibooks,14,17
cowikiquote,14,17
crwikiquote,14,17
crwiktionary,14,17
dzwiktionary,14,17
eowikivoyage,14,17
euwikisource,14,17
fiwikivoyage,14,17
gawikibooks,14,17
gawikiquote,14,17
gcrwiki,14,17
gnwikibooks,14,17
gomwiktionary,14,17
gotwikibooks,14,17
guwikibooks,14,17
hifwiktionary,14,17
hiwikimedia,14,17
hiwikisource,14,17
hiwikivoyage,14,17
howiki,14,17
htwikisource,14,17
huwikinews,14,17
hywwiki,14,17
hzwiki,14,17
idwikimedia,14,17
iewikibooks,14,17
iiwiki,14,17
ikwiktionary,14,17
jawikivoyage,14,17
kjwiki,14,17
kkwikiquote,14,17
knwikibooks,14,17
krwiki,14,17
krwikiquote,14,17
kswikibooks,14,17
kswikiquote,14,17
kwwikiquote,14,17
lbwikibooks,14,17
lbwikiquote,14,17
lijwikisource,14,17
lldwiki,14,17
lnwikibooks,14,17
lvwikibooks,14,17
maiwikimedia,14,17
mhwiki,14,17
mhwiktionary,14,17
minwiktionary,14,17
miwikibooks,14,17
mnwikibooks,14,17
mnwwiki,14,17
muswiki,14,17
mywikibooks,14,17
nahwikibooks,14,17
napwikisource,14,17
nawikibooks,14,17
nawikiquote,14,17
ndswikibooks,14,17
ndswikiquote,14,17
ngwiki,14,17
nlwikinews,14,17
nqowiki,14,17
nzwikimedia,14,17
piwiktionary,14,17
pmswikisource,14,17
pswikibooks,14,17
pswikivoyage,14,17
ptwikimedia,14,17
quwikibooks,14,17
quwikiquote,14,17
rmwikibooks,14,17
rmwiktionary,14,17
rnwiktionary,14,17
sahwikiquote,14,17
scwiktionary,14,17
sdwikinews,14,17
sewikibooks,14,17
shnwiktionary,14,17
shywiktionary,14,17
simplewikibooks,14,17
simplewikiquote,14,17
snwiktionary,14,17
suwikibooks,14,17
swwikibooks,14,17
szywiki,14,17
thwikinews,14,17
tkwikibooks,14,17
tkwikiquote,14,17
towiktionary,14,17
trwikivoyage,14,17
ttwikiquote,14,17
twwiktionary,14,17
ugwikibooks,14,17
ugwikiquote,14,17
uzwikibooks,14,17
vowikibooks,14,17
vowikiquote,14,17
wawikibooks,14,17
wbwikimedia,14,17
xhwikibooks,14,17
xhwiktionary,14,17
yowikibooks,14,17
yowiktionary,14,17
zawikibooks,14,17
zawikiquote,14,17
zawiktionary,14,17
zh_min_nanwikibooks,14,17
zh_min_nanwikiquote,14,17
zuwikibooks,14,17
niawiktionary,14,1
niawiki,14,1
mnwwiktionary,14,1
mniwiktionary,14,1
mniwiki,14,1
wawikisource,14,1
bclwiktionary,14,1
banwikisource,14,1
skrwiktionary,14,1
skrwiki,14,1
pwnwiki,14,1
amiwiki,14,1
altwiki,14,1
shiwiki,14,1
smnwiki,14,1
madwiki,14,1
trvwiki,14,1
jvwikisource,14,1
taywiki,14,1
lmowiktionary,14,1
diqwiktionary,14,1
dagwiki,14,1
guwwiki,14,1
shnwikivoyage,14,1
kcgwiki,14,1
aswikiquote,14,1
bclwikiquote,14,1
bjnwiktionary,14,1
blkwiki,14,1
bnwikiquote,14,1
gorwiktionary,14,1
guwwikiquote,14,1
guwwiktionary,14,1
igwikiquote,14,1
igwiktionary,14,1
pcmwiki,14,1
shnwikibooks,14,1
tlwikiquote,14,1
gucwiki,14,1
gurwiki,14,1
wikifunctionswiki,14,1
