# Production wiki,group,edit size in 2016
mswikibooks,13,5586
zuwiktionary,13,5280
rwwiktionary,13,5269
jbowiktionary,13,5176
wikimania2017wiki,13,5174
quwiktionary,13,5145
adywiki,13,5061
zh_min_nanwikisource,13,4998
aywiktionary,13,4924
kuwikiquote,13,4899
etwikibooks,13,4672
omwiktionary,13,4642
hywikibooks,13,4631
liwikiquote,13,4629
nawiktionary,13,4543
suwiktionary,13,4429
mkwikibooks,13,4409
kwwiktionary,13,4393
hiwikibooks,13,4377
dvwiktionary,13,4158
cywikiquote,13,3896
sswiktionary,13,3849
iuwiktionary,13,3802
tpiwiktionary,13,3640
cywikisource,13,3418
skwikisource,13,3269
afwikiquote,13,3263
urwikiquote,13,3192
kmwikibooks,13,3117
lnwiktionary,13,3116
urwikibooks,13,3012
ttwikibooks,13,3006
mxwikimedia,13,2995
lawikibooks,13,2987
tiwiktionary,13,2950
sqwikiquote,13,2882
bswikibooks,13,2815
mrwikibooks,13,2791
brwikiquote,13,2629
tswiktionary,13,2628
fiwikimedia,13,2603
mrwikiquote,13,2420
suwikiquote,13,2185
knwikiquote,13,2178
sgwiktionary,13,2161
bewikiquote,13,2120
liwikibooks,13,2116
hawiktionary,13,2086
tnwiktionary,13,1947
sawikibooks,13,1904
dkwikimedia,13,1834
ocwikibooks,13,1736
tewikibooks,13,1692
kkwikibooks,13,1659
cvwikibooks,13,1616
afwikibooks,13,1600
iawikibooks,13,1426
mkwikimedia,13,1398
nycwikimedia,13,1350
bdwikimedia,13,1334
kswiktionary,13,1321
fywikibooks,13,1310
cywikibooks,13,1304
pawikibooks,13,1263
bewikibooks,13,1242
uzwikiquote,13,1211
kuwikibooks,13,1167
trwikimedia,13,1102
etwikimedia,13,1036
fowikisource,13,1035
tgwikibooks,13,934
wowikiquote,13,922
mgwikibooks,13,893
kywikibooks,13,873
kywikiquote,13,852
votewiki,13,721
arwikimedia,13,224
cnwikimedia,13,155
loginwiki,13,17
atjwiki,13,17
shnwiki,13,17
yuewiktionary,13,17
liwikinews,13,17
aawiki,13,17
dinwiki,13,17
dtywiki,13,17
gorwiki,13,17
inhwiki,13,17
kbpwiki,13,17
lfnwiki,13,17
olowiki,13,17
satwiki,13,17
tenwiki,13,17
